id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0001,Audi A4 2024,Deportivo,2.48,Normal
REV-0002,Toyota Corolla 2023,Sedán,1.23,Muy baja
REV-0003,Nissan Sentra 2024,Lujo,3.18,Alta
REV-0004,KIA Sportage 2023,Lujo,2.08,Normal
REV-0005,Hyundai Tucson 2024,Pickup,3.35,Alta
REV-0006,Mercedes C300 2023,Pickup,3.48,Alta
REV-0007,BMW Serie 3 2024,Lujo,3.10,Alta
REV-0008,RAM 1500 2023,Deportivo,1.38,Muy baja
REV-0009,Nissan Frontier 2023,SUV,2.71,Normal
REV-0010,Chevrolet Silverado 2024,SUV,1.72,Baja
REV-0011,Mazda CX-5 2023,Minivan,2.68,Normal
REV-0012,VW Tiguan 2024,Sedán,2.02,Baja
REV-0013,Toyota Hilux 2024,Lujo,1.89,Baja
REV-0015,Toyota RAV4 2024,Lujo,2.80,Alta
REV-0016,Hyundai Tucson 2024,Sedán,1.87,Baja
REV-0017,RAM 1500 2023,Pickup,2.47,Normal
REV-0018,Toyota Hilux 2024,Minivan,2.05,Baja
REV-0020,VW Jetta 2023,SUV,2.84,Alta
REV-0021,Nissan Sentra 2024,Pickup,3.74,Peligrosa
REV-0022,Chevrolet Aveo 2022,SUV,1.91,Baja
REV-0023,VW Tiguan 2024,Deportivo,2.83,Alta
REV-0024,Jeep Wrangler 2022,Minivan,2.90,Alta
REV-0025,Mazda 3 2024,Sedán,3.79,Peligrosa
REV-0026,VW Jetta 2023,Deportivo,2.26,Normal
REV-0027,Subaru Outback 2024,Compacto,3.51,Alta
REV-0028,Jeep Wrangler 2022,Deportivo,3.63,Peligrosa
REV-0030,Hyundai Tucson 2024,Sedán,2.52,Normal
REV-0031,Mazda CX-5 2023,Deportivo,1.91,Baja
REV-0032,Ford Escape 2023,Minivan,2.05,Baja
REV-0033,Suzuki Vitara 2023,Sedán,3.79,Peligrosa
REV-0035,Chevrolet Aveo 2022,Minivan,3.13,Alta
REV-0036,Chevrolet Silverado 2024,Minivan,3.35,Alta
REV-0037,KIA Sportage 2023,Deportivo,3.57,Alta
REV-0038,Mercedes C300 2023,Sedán,3.76,Peligrosa
REV-0039,Suzuki Vitara 2023,Sedán,2.57,Normal
REV-0040,Ford Escape 2023,Compacto,3.06,Alta
REV-0041,VW Jetta 2023,Camioneta,2.07,Normal
REV-0043,Subaru Outback 2024,Minivan,3.09,Alta
REV-0045,VW Tiguan 2024,Compacto,2.68,Normal
REV-0046,Nissan Frontier 2023,Deportivo,2.81,Alta
REV-0047,KIA Sportage 2023,Lujo,2.03,Baja
REV-0048,RAM 1500 2023,Camioneta,3.34,Alta
REV-0049,Jeep Wrangler 2022,Sedán,2.83,Alta
REV-0051,Suzuki Vitara 2023,Camioneta,3.38,Alta
REV-0052,VW Tiguan 2024,Minivan,2.14,Normal
REV-0053,Suzuki Vitara 2023,Sedán,2.15,Normal
REV-0054,RAM 1500 2023,Pickup,2.68,Normal
REV-0055,Chevrolet Aveo 2022,Compacto,1.28,Muy baja
REV-0056,RAM 1500 2023,Compacto,1.89,Baja
REV-0057,Nissan Frontier 2023,Lujo,1.25,Muy baja
REV-0058,Suzuki Vitara 2023,SUV,1.27,Muy baja
REV-0059,Ford Escape 2023,Compacto,3.61,Alta
REV-0060,Subaru Outback 2024,Camioneta,2.16,Normal
REV-0061,BMW Serie 3 2024,Deportivo,1.89,Baja
REV-0062,Nissan Sentra 2024,Lujo,1.63,Baja
REV-0063,Honda Civic 2022,Compacto,3.13,Alta
REV-0064,Audi A4 2024,Lujo,2.21,Normal
REV-0065,BMW Serie 3 2024,Lujo,3.78,Peligrosa
REV-0066,Nissan Sentra 2024,SUV,2.14,Normal
REV-0067,Chevrolet Silverado 2024,Compacto,2.94,Alta
REV-0068,Honda CR-V 2023,Compacto,3.34,Alta
REV-0069,Jeep Wrangler 2022,Camioneta,2.45,Normal
REV-0070,Subaru Outback 2024,Sedán,2.20,Normal
REV-0071,RAM 1500 2023,Minivan,3.56,Alta
REV-0072,KIA Sportage 2023,Camioneta,3.50,Alta
REV-0073,Chevrolet Aveo 2022,Lujo,3.65,Peligrosa
REV-0074,Suzuki Vitara 2023,Camioneta,3.10,Alta
REV-0075,BMW Serie 3 2024,Pickup,2.83,Alta
REV-0076,Ford Ranger 2023,Deportivo,1.75,Baja
REV-0077,Suzuki Vitara 2023,Deportivo,2.81,Alta
REV-0078,Ford Escape 2023,Sedán,1.23,Muy baja
REV-0079,Mazda 3 2024,Sedán,2.61,Normal
REV-0080,RAM 1500 2023,Deportivo,3.63,Peligrosa
REV-0082,Nissan Sentra 2024,Minivan,1.29,Muy baja
REV-0083,Mercedes C300 2023,Sedán,1.36,Muy baja
REV-0084,Toyota Corolla 2023,Compacto,1.22,Muy baja
REV-0085,BMW Serie 3 2024,Minivan,2.98,Alta
